Set,Vraag #,Categorie,Vraag,Opties,Antwoord
1,1,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
1,2,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
1,3,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
1,4,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
1,5,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
1,6,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
1,7,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
1,8,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
1,9,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
1,10,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
2,1,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
2,2,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
2,3,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
2,4,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
2,5,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
2,6,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
2,7,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
2,8,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
2,9,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
2,10,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
3,1,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
3,2,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
3,3,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
3,4,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
3,5,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
3,6,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
3,7,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
3,8,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
3,9,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
3,10,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
4,1,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
4,2,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
4,3,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
4,4,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
4,5,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
4,6,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
4,7,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
4,8,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
4,9,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
4,10,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
5,1,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
5,2,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
5,3,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
5,4,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
5,5,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
5,6,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
5,7,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
5,8,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
5,9,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
5,10,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
6,1,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
6,2,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
6,3,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
6,4,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
6,5,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
6,6,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
6,7,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
6,8,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
6,9,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
6,10,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
7,1,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
7,2,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
7,3,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
7,4,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
7,5,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
7,6,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
7,7,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
7,8,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
7,9,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
7,10,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
8,1,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
8,2,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
8,3,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
8,4,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
8,5,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
8,6,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
8,7,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
8,8,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
8,9,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
8,10,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
9,1,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
9,2,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
9,3,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
9,4,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
9,5,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
9,6,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
9,7,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
9,8,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
9,9,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
9,10,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
10,1,Taal,Wat is het meervoud van 'museum'?,"Musea, Museums, Museum's, Muses",Musea
10,2,Getallen,"Wat is het volgende getal in de reeks: 2, 4, 8, 16, ...?","18, 24, 32, 30",32
10,3,Geheugen,"Je leest: blauw, geel, groen, rood. Wat was het tweede woord?","Blauw, Geel, Groen, Rood",Geel
10,4,Logisch redeneren,"Wat komt logisch gezien het eerst: slapen, moe worden, wakker worden, dromen?","Moe worden, Dromen, Slapen, Wakker worden",Moe worden
10,5,Taal,Welk woord is een synoniem van 'blij'?,"Verdrietig, Vrolijk, Boos, Bang",Vrolijk
10,6,Getallen,Wat is 15% van 200?,"25, 30, 35, 40",30
10,7,Geheugen,"Je ziet: hond, stoel, boek, vis. Wat was het derde woord?","Hond, Boek, Vis, Stoel",Boek
10,8,Patronen,Welke vorm volgt: ○ △ ○ △ ○ ...?,"△, ○, □, ◇",△
10,9,Logisch redeneren,"Als alle katten dieren zijn en sommige dieren zwart zijn, kunnen sommige katten dan zwart zijn?","Ja, Nee, Altijd, Nooit",Ja
10,10,Patronen,"Wat is het volgende patroon: A, C, E, G, ...?","H, I, J, I",I
